Duration,Franchise,Cluster
27,53.46,18
33,59.4,10
29,36.1,1
88,59.4,5
62,23.76,15
61,5.94,16
81,17.82,15
25,100.98,3
25,47.52,18
172,89.1,2
17,10.64,4
38,59.4,10
35,83.16,10
19,53.46,18
33,53.46,18
106,106.92,13
83,47.52,5
96,77.22,17
72,41.58,5
162,5.94,0
186,29.7,14
70,65.34,5
79,41.58,5
39,10.64,4
65,19.14,15
30,23.76,1
24,11.88,4
68,77.22,17
85,95.04,17
20,12.54,4
225,9.57,6
246,9.57,6
53,9.57,16
245,9.57,6
52,9.57,16
81,23.76,15
90,47.52,9
71,83.16,17
81,41.58,9
64,17.82,15
29,89.1,3
65,47.52,5
66,5.94,16
79,10.64,16
82,28.5,9
71,42.18,5
65,17.82,15
115,35.64,9
113,112.86,13
112,41.58,9
73,65.34,5
77,53.46,5
59,47.52,5
64,47.52,5
18,23.76,1
58,29.7,15
73,10.64,16
51,41.58,5
173,89.1,2
48,71.28,10
58,41.58,5
95,35.64,9
85,71.28,17
46,47.52,5
31,41.58,18
60,9.57,16
100,41.42,9
242,53.46,7
16,35.64,1
17,53.46,3
21,124.74,13
41,10.64,16
14,22.04,11
112,29.7,9
62,83.16,17
186,17.82,14
102,29.7,9
161,5.94,0
99,83.16,17
186,11.88,14
158,11.88,0
68,41.58,5
68,36.1,15
97,49.4,9
51,9.57,16
85,11.88,16
65,53.46,5
66,89.1,17
21,23.18,1
65,83.16,17
104,53.46,9
70,35.64,15
87,35.64,9
86,64.98,5
249,19.14,7
106,95.04,17
55,106.92,17
25,53.46,18
54,53.46,5
60,53.46,5
67,71.28,17
147,47.52,8
41,35.64,15
35,41.58,18
48,23.76,15
43,35.64,15
35,5.94,4
29,59.4,10
51,17.82,15
42,59.4,5
19,5.94,4
78,11.88,16
82,11.88,16
50,59.4,5
61,83.16,17
62,35.64,15
47,29.7,15
51,71.28,17
228,9.57,6
61,29.7,15
58,124.74,13
91,29.7,9
69,59.4,5
51,77.22,17
65,10.64,16
42,28.5,15
75,36.1,15
20,19.14,1
66,118.8,13
55,47.52,5
229,9.57,6
40,9.57,16
226,9.57,6
29,47.52,18
55,89.1,17
60,83.16,17
18,5.94,4
59,41.42,5
67,36.1,15
39,14.44,4
39,9.57,16
47,5.94,16
74,23.76,15
180,17.82,14
16,41.58,18
102,41.58,9
39,59.4,10
24,59.4,10
76,71.28,17
74,11.88,16
47,10.64,16
20,47.52,18
41,77.22,10
68,83.16,17
184,23.76,14
244,23.76,7
66,47.52,5
24,35.64,1
33,41.42,18
7,12.54,11
37,10.64,4
141,42.18,8
50,41.58,5
45,71.28,10
50,53.46,5
73,17.82,15
43,36.1,15
51,49.4,5
29,9.57,4
118,89.1,17
25,71.28,10
42,41.58,15
58,47.52,5
52,23.76,15
66,11.88,16
128,17.82,0
107,53.46,9
53,5.94,16
24,5.94,4
79,47.52,5
89,59.4,5
47,47.52,5
23,8.36,4
240,9.57,6
208,65.34,7
48,29.7,15
104,112.86,13
52,29.7,15
48,53.46,5
70,28.5,15
76,11.02,16
33,42.18,18
38,9.57,4
181,9.57,14
109,53.46,9
40,47.52,5
60,47.52,5
44,59.4,5
18,100.98,3
114,5.94,16
150,41.58,8
108,41.58,9
54,47.52,5
45,29.7,15
47,41.58,15
5,10.64,11
7,22.04,11
87,5.94,16
131,5.94,0
124,29.7,8
52,47.52,5
129,41.42,8
9,28.5,11
34,23.76,15
243,29.7,7
40,65.34,10
66,29.7,15
79,89.1,17
63,47.52,5
211,23.76,14
125,23.76,0
59,36.1,15
84,47.52,5
128,41.42,8
23,9.57,4
42,53.46,5
203,41.58,7
98,17.82,0
96,29.7,9
9,9.57,11
38,41.58,15
26,77.22,10
113,47.52,9
39,35.64,15
56,71.28,17
98,59.4,5
55,77.22,17
217,41.58,7
165,35.64,8
39,53.46,5
79,65.34,5
169,95.04,2
129,47.52,9
238,59.4,7
83,29.7,9
26,47.52,18
97,59.4,5
86,65.34,5
19,28.5,1
48,32.68,15
196,41.58,7
62,59.4,5
84,41.58,9
124,17.82,0
54,59.4,5
22,83.16,3
166,17.82,14
188,9.57,14
221,59.4,7
42,5.94,4
36,65.34,10
248,53.46,7
14,71.28,3
37,35.64,15
241,71.28,7
122,10.64,16
49,36.1,15
15,65.34,3
51,5.94,16
59,89.1,17
48,65.34,5
37,59.4,10
12,11.02,11
8,19.14,11
10,9.57,11
207,59.4,7
37,77.22,10
40,5.94,4
6,27.36,11
101,69.16,17
110,29.7,9
90,83.16,17
73,59.4,5
30,59.4,10
237,83.16,2
46,29.7,15
54,71.28,17
106,83.16,17
71,47.52,5
42,95.04,17
76,17.82,15
240,29.7,7
79,53.46,5
44,53.46,5
42,77.22,10
217,53.46,7
49,47.52,5
168,69.16,12
119,17.82,0
57,47.52,5
67,83.16,17
190,77.22,7
36,28.5,15
12,71.28,3
70,95.04,17
187,17.82,14
51,10.64,16
41,36.1,15
24,22.04,1
30,53.46,18
221,23.76,14
75,41.58,5
35,35.64,15
40,11.88,4
74,41.58,5
84,17.82,0
42,65.34,10
221,53.46,7
98,35.64,9
173,23.76,14
134,47.52,8
232,89.1,2
116,23.76,0
28,32.3,1
35,36.1,15
37,124.74,13
70,59.4,5
41,59.4,5
203,9.57,6
64,25.08,15
56,55.86,5
62,118.8,13
28,28.5,1
2,17.82,11
130,11.88,0
25,41.58,18
21,95.04,3
58,89.1,17
42,89.1,10
84,41.42,9
81,71.28,17
208,23.76,14
143,5.94,0
125,11.88,0
31,83.16,10
17,9.57,4
31,95.04,3
56,112.86,13
37,71.28,10
56,95.04,17
140,59.4,12
138,23.76,0
118,71.28,12
18,35.64,1
80,124.74,13
80,118.8,13
227,89.1,2
110,106.92,13
228,11.88,6
89,47.52,9
38,12.54,4
37,32.68,15
37,53.46,18
114,53.46,9
23,47.52,18
75,29.7,15
47,17.82,15
16,59.4,3
4,8.36,11
3,9.57,11
7,9.57,11
89,14.44,0
49,83.16,17
75,124.74,13
22,59.4,3
44,95.04,17
14,5.94,4
130,23.76,0
27,41.58,18
2,9.57,11
137,36.1,8
69,35.64,15
30,65.34,10
58,112.86,13
55,100.98,17
121,29.7,9
76,41.58,5
72,118.8,13
22,31.54,1
213,17.82,14
37,41.58,15
59,65.34,5
43,53.46,5
21,28.5,1
21,41.42,18
32,77.22,10
97,83.16,17
35,118.8,3
100,29.7,9
47,71.28,10
27,10.64,4
27,14.44,4
32,118.8,3
31,71.28,10
107,35.64,9
74,83.16,17
143,11.88,0
125,53.46,9
19,83.16,3
89,11.02,16
78,29.7,15
146,23.76,0
135,89.1,2
76,5.94,16
20,112.86,3
25,59.4,10
15,77.22,3
90,53.46,5
53,10.64,16
90,17.82,0
15,71.28,3
39,11.88,4
164,29.7,8
55,32.68,15
0,5.94,11
119,89.1,17
211,29.7,7
67,35.64,15
92,41.58,9
133,35.64,8
69,83.16,17
58,59.4,5
17,95.04,3
179,47.52,7
53,65.34,5
72,83.16,17
76,47.52,5
19,59.4,3
18,95.04,3
89,65.34,17
64,23.76,15
36,47.52,18
34,47.52,18
41,124.74,13
57,41.42,5
144,9.57,0
192,9.57,6
136,9.57,0
71,106.02,17
22,14.44,4
16,83.16,3
54,106.92,17
36,59.4,10
192,47.52,7
40,89.1,10
121,47.52,9
21,77.22,3
12,10.64,11
52,55.86,5
207,9.57,6
41,71.28,10
198,89.1,2
109,11.88,16
134,5.94,0
145,17.82,0
31,100.98,3
29,71.28,10
111,29.7,9
13,71.28,3
22,10.64,4
16,32.68,1
49,118.8,13
19,89.1,3
69,17.82,15
111,9.57,16
148,17.82,0
41,95.04,10
7,10.64,11
14,12.54,4
132,23.76,0
19,14.44,4
200,9.57,6
75,95.04,17
66,53.46,5
115,17.82,0
127,5.94,16
3,8.36,11
23,27.36,1
136,16.5,0
137,47.52,8
24,77.22,3
105,47.52,9
136,29.7,8
207,65.34,7
51,53.46,5
206,23.76,14
178,9.57,14
75,47.52,5
29,118.8,3
203,59.4,7
191,11.88,14
193,17.82,14
92,16.5,0
187,53.46,7
138,53.46,12
30,28.5,1
187,29.7,14
136,17.82,0
63,53.46,5
154,11.88,0
209,65.34,7
55,95.04,17
196,17.82,14
49,59.4,5
199,41.58,7
155,17.82,0
136,5.94,0
175,29.7,14
195,59.4,7
46,53.46,5
86,59.4,5
146,83.16,12
54,23.76,15
194,59.4,7
169,29.7,8
45,59.4,5
121,5.94,16
108,9.57,16
41,106.92,17
122,35.64,9
107,106.92,13
151,5.94,0
91,42.18,9
36,49.4,18
35,53.46,18
182,53.46,7
28,47.52,18
192,59.4,7
131,23.76,0
41,83.16,10
28,49.4,18
73,27.36,15
86,16.5,0
129,29.7,8
118,5.94,16
195,17.82,14
142,17.82,0
18,77.22,3
26,10.64,4
177,9.57,14
189,35.64,7
133,41.58,8
27,124.74,3
39,32.68,15
34,77.22,10
56,59.4,5
48,59.4,5
61,95.04,17
50,47.52,5
6,41.58,18
154,9.57,0
187,59.4,7
132,59.4,12
40,106.92,17
142,59.4,12
122,5.94,16
104,17.82,0
194,89.1,2
8,12.54,11
6,11.02,11
28,83.16,10
74,29.7,15
156,47.52,8
164,65.34,12
191,89.1,2
